Nucleus,Elevel(keV),Jpi,T1/2
28SI,12924.0 3,(2+),200 eV 40
28SI,12976 2,(0+),5.2 keV 16
28SI,12994 3,"(5,6,7)+",16 fs 3
28SI,12994 3,"(5,6,7)+",16 fs 3
28SI,12994 3,"(5,6,7)+",16 fs 3
28SI,13033.5 1,(3+),550 eV 60
28SI,13039.8 5,(0+),3.2 keV 10
28SI,13094.1 1,(4+),20 eV 3
28SI,13114.9 10,"(3,4+)",< 200 eV
28SI,13188.6 5,(2+),1.9 keV 2
28SI,13190.0 2,(1+),450 eV 50
28SI,13204.6 1,"(2,3)+",210 eV 40
28SI,13204.6 1,"(2,3)+",210 eV 40
28SI,13229.7 5,(2+),1.1 keV 1
28SI,13230.7 10,(6+),
28SI,13234 2,(0+),3.0 keV 9
28SI,13320.5 1,(1+),450 eV 60
28SI,13360.8 5,(4+),550 eV 60
28SI,13415.3 5,(4+),140 eV 30
28SI,13425.4 4,(5+),80 eV 20
28SI,13483.7 5,(2+),1.5 keV 2
28SI,13546.7 6,(2+),8.5 keV 9
28SI,13557.1 1,"(5+,4+)",150 eV 30
28SI,13557.1 1,"(5+,4+)",150 eV 30
28SI,13560.3 9,(3+),1.8 keV 2
28SI,13569.0 7,"(5-,4+)",
28SI,13582.3 5,(6+),< 28 fs
28SI,13611.6 8,"(4+,5-)",
28SI,13636.3 7,(3+),570 eV 60
28SI,13639.9 10,(2+),5.7 keV 6
28SI,13640.4 10,"(1-,2+)",120 eV 20
28SI,13668.1 5,(4+),250 eV 50
28SI,13678.7 7,(2+),1.3 keV 2
28SI,13686.4 5,(2+ TO 4+),
28SI,13686.4 5,(2+ TO 4+),
28SI,13706.6 5,"(2,3)+",500 eV 50
28SI,13706.6 5,"(2,3)+",500 eV 50
28SI,13708.6 10,(4+),190 eV 40
28SI,13710.2 10,(4+ TO 7+),
28SI,13710.2 10,(4+ TO 7+),
28SI,13805.9 8,(4+),150 eV 30
28SI,13814.4 10,(3+),320 eV 30
28SI,13941.0 10,(2+),5.2 keV 5
28SI,13968.2 7,(4+),250 eV 50
28SI,13972.4 7,(2+),2.5 keV 3
28SI,13979.9 7,(4+),2.6 keV 3
28SI,13984.1 7,(2+),380 eV 60
28SI,14012.4 10,(4+),100 eV 2
28SI,14048 3,"(5,4)+",1.2 keV 1
28SI,14048 3,"(5,4)+",1.2 keV 1
28SI,14049 3,(2+),2.4 keV 2
28SI,14065 3,(2+),6.1 keV 6
28SI,14094 3,(1+),12 keV 1
28SI,14095 3,(4+),830 eV 80
28SI,14163.7 10,(5+),
28SI,14198.6 10,(3+),1.1 keV 1
28SI,14207.5 10,(4+),1.0 keV 1
28SI,14212.1 10,(5+),600 eV 60
28SI,14227 3,(3+),2.1 keV 2
28SI,14245.4 10,(7+),
28SI,14247 3,(2+),26 keV 3
28SI,14294 3,(2+),2.0 keV 2
28SI,14298 3,(4+),1.4 keV 1
28SI,14308 5,(2+),
28SI,14328 3,(4+),620 eV 120
28SI,14331.7 10,(5+),70 eV 15
28SI,14358 3,(4+),3.5 keV 4
28SI,14375 3,(2+),27 keV 3
28SI,14391 3,(0+),9.0 keV 9
28SI,14392.9 10,(3+),560 eV 60
28SI,14434 3,(3+),19 keV 2
28SI,14493 3,(2+),23 keV 2
28SI,14493 3,(3+),5.9 keV 6
28SI,14550.5 10,"(3+,4)",< 2 keV
28SI,14554.5 10,(2+),6 keV 2
28SI,14577.4 10,(2+),< 2 keV
28SI,14633.3 10,(5+),< 2 keV
28SI,14643 3,(4+ TO 8+),
28SI,14643 3,(4+ TO 8+),
28SI,14722.0 10,"(4+,5)",< 2 keV
28SI,14741.6 10,(3+ TO 5+),< 2 keV
28SI,14741.6 10,(3+ TO 5+),< 2 keV
28SI,14802.6 10,(4+),< 2 keV
28SI,14954.2 10,"(3,4+)",10 keV 2
28SI,15227 1,(0+),90 eV 15
28SI,15914.8 10,(6+),
29SI,0,1/2+,STABLE
29SI,1273.387 9,3/2+,291 fs 10
29SI,2028.16 4,5/2+,306 fs 10
29SI,2425.97 3,3/2+,18.1 fs 7
29SI,3067.13 5,5/2+,33 fs 1
29SI,4079.9 3,7/2+,44 fs 12
29SI,4741.1 3,(9/2+),36 fs 7
29SI,4840.38 7,1/2+,< 3.5 fs
29SI,4895.2 4,5/2+,12 fs 5
29SI,5284.7 5,7/2+,6 fs 3
29SI,5652.2 7,9/2+,51 fs 3
29SI,5811.7 7,7/2+,32 fs 12
29SI,5947 3,3/2+,< 10 fs
29SI,6423 1,(7/2+),< 14 fs
29SI,6496.23 21,1/2+ TO 5/2+,< 24 fs
29SI,6496.23 21,1/2+ TO 5/2+,< 24 fs
29SI,6522 1,5/2+,< 10 fs
29SI,6615 1,(9/2+),< 14 fs
29SI,6695.93 14,1/2+,
29SI,6710 1,(5/2+),< 62 fs
29SI,6908.52 6,"(1/2+,3/2)",
29SI,6921 1,(7/2+),< 14 fs
29SI,7058.00 9,1/2+,< 15 fs
29SI,7072 1,"(3/2+,5/2+)",< 10.4 fs
29SI,7072 1,"(3/2+,5/2+)",< 10.4 fs
29SI,7139 1,(11/2+),29 fs 10
29SI,7692.0 4,"(1/2+,3/2+)",
29SI,7692.0 4,"(1/2+,3/2+)",
29SI,7787 1,(7/2+),15 fs 8
29SI,8173 1,(11/2+),< 14 fs
29SI,8209 1,(3/2+),< 14 fs
29SI,8290 5,5/2+,
29SI,8507.5 17,"(3/2+,5/2+)",
29SI,8507.5 17,"(3/2+,5/2+)",
29SI,9630 7,1/2+,
29SI,11087 7,"(3/2+,5/2+)",
29SI,11087 7,"(3/2+,5/2+)",
29SI,11305 9,"(3/2+,5/2+)",
29SI,11305 9,"(3/2+,5/2+)",
29SI,11665 10,1/2+,
30SI,0,0+,STABLE
30SI,2235.322 18,2+,215 fs 28
30SI,3498.49 3,2+,58 fs 17
30SI,3769.48 4,1+,36 fs 9
30SI,3787.72 4,0+,8.3 ps 5
30SI,4810.31 11,2+,104 fs 15
30SI,4830.85 4,3+,83 fs 24
30SI,5231.38 7,3+,43 fs 21
30SI,5279.37 14,4+,83 fs 22
30SI,5372.2 6,0+,59 fs 21
30SI,5614.04 13,2+,< 21 fs
30SI,5950.73 15,4+,15 fs 8
30SI,6537.5 16,2+,< 17 fs
30SI,6642 3,0+,
30SI,6865.2 12,3+,23 fs 16
30SI,6914.79 24,(2+),< 24 fs
30SI,6998.90 15,5+,104 fs 35
30SI,7079.4 14,"(1+,2-,3+)",< 14 fs
30SI,7079.4 14,"(1+,2-,3+)",< 14 fs
30SI,7223.2 4,4+,< 14 fs
30SI,7255.8 16,2+,< 35 fs
30SI,7441 4,0+,
30SI,7623.9 23,(2+),< 17 fs
30SI,7667.4 6,"(1+,2+)",< 14 fs
30SI,7667.4 6,"(1+,2+)",< 14 fs
30SI,7809.7 13,4+,12 fs 8
30SI,7911.8 20,2+,21 fs 15
30SI,8104.8 3,"(2+,3-)",< 24 fs
30SI,8156.1 7,(1- TO 4+),
30SI,8190.6 24,(2+),< 24 fs
30SI,8536.4 16,"(3+,4+)",31 fs 16
30SI,8536.4 16,"(3+,4+)",31 fs 16
30SI,8639.4 21,(1+ TO 4+),< 24 fs
30SI,8639.4 21,(1+ TO 4+),< 24 fs
30SI,8672.2 18,"(1-,2+)",
30SI,8683.7 15,2+,< 24 fs
30SI,8734 3,(0+ TO 3+),
30SI,8734 3,(0+ TO 3+),
30SI,8799 3,"(1,2+)",
30SI,8887 4,(0+ TO 4+),
30SI,8887 4,(0+ TO 4+),
30SI,8939 3,(2+),
30SI,8953.4 5,"(1,2+)",
30SI,8979 3,"(1,2+)",
30SI,9034.8 23,(0+ TO 3+),
30SI,9034.8 23,(0+ TO 3+),
30SI,9129.8 20,"(4+,5+)",< 17 fs
30SI,9129.8 20,"(4+,5+)",< 17 fs
30SI,9166.4 16,(1+ TO 3+),< 24 fs
30SI,9166.4 16,(1+ TO 3+),< 24 fs
30SI,9255.2 20,"(2+,3+)",
30SI,9255.2 20,"(2+,3+)",
30SI,9308.11 22,(1 TO 3+),< 24 fs
30SI,9308.11 22,(1 TO 3+),< 24 fs
30SI,9308.11 22,(1 TO 3+),< 24 fs
30SI,9362 4,"(1,2+)",
30SI,9367.2 4,6+,< 17 fs
30SI,9405.7 20,(1+ TO 4+),< 24 fs
30SI,9405.7 20,(1+ TO 4+),< 24 fs
30SI,9474.1 24,(2+ TO 4+),
30SI,9474.1 24,(2+ TO 4+),
30SI,9575 3,(1+ TO 3),
30SI,9597.3 3,(0+ TO 4+),
30SI,9597.3 3,(0+ TO 4+),
30SI,9604.5 20,(2 TO 4+),
30SI,9604.5 20,(2 TO 4+),
30SI,9604.5 20,(2 TO 4+),
30SI,9725 3,(0+ TO 4+),
30SI,9725 3,(0+ TO 4+),
30SI,9760.5 20,(2+ TO 4+),< 35 fs
30SI,9760.5 20,(2+ TO 4+),< 35 fs
30SI,9768 3,"(1,2+)",
30SI,9816 4,(0+ TO 4+),
30SI,9816 4,(0+ TO 4+),
30SI,9896.6 20,(0+ TO 4+),
30SI,9896.6 20,(0+ TO 4+),
30SI,9958 3,"(1,2+)",
30SI,10026.6 23,(2 TO 4+),
30SI,10026.6 23,(2 TO 4+),
30SI,10026.6 23,(2 TO 4+),
30SI,10056.4 20,4+,
30SI,10078.7 24,(1+ TO 4+),
30SI,10078.7 24,(1+ TO 4+),
30SI,10115.8 24,(1- TO 4+),
30SI,10183.8 23,(0+ TO 3+),
30SI,10183.8 23,(0+ TO 3+),
30SI,10219 4,(0+ TO 4+),
30SI,10219 4,(0+ TO 4+),
30SI,10275.5 7,(0+ TO 4+),
30SI,10275.5 7,(0+ TO 4+),
30SI,10286.7 24,"(4+,5+)",< 28 fs
30SI,10286.7 24,"(4+,5+)",< 28 fs
30SI,10347.8 20,"(3+,4)",< 24 fs
30SI,10354.9 23,(0+ TO 4+),
30SI,10354.9 23,(0+ TO 4+),
30SI,10396 3,"(3,5+)",< 24 fs
30SI,10420 4,(2+ TO 6+),
30SI,10420 4,(2+ TO 6+),
30SI,10449 3,(0 TO 3+),
30SI,10449 3,(0 TO 3+),
30SI,10449 3,(0 TO 3+),
30SI,10449 3,(0 TO 3+),
30SI,10464.1 20,"(3+,4)",< 35 fs
30SI,10472 3,"(1,2+)",
30SI,10507.9 23,(0+ TO 3+),
30SI,10507.9 23,(0+ TO 3+),
30SI,10581 4,(0 TO 3+),
30SI,10581 4,(0 TO 3+),
30SI,10581 4,(0 TO 3+),
30SI,10581 4,(0 TO 3+),
30SI,10622 4,(0 TO 4+),
30SI,10622 4,(0 TO 4+),
30SI,10622 4,(0 TO 4+),
30SI,10622 4,(0 TO 4+),
30SI,10622 4,(0 TO 4+),
30SI,10675.4 12,(6+),12 fs 8
30SI,10805 4,(0+ TO 4+),
30SI,10805 4,(0+ TO 4+),
30SI,10821.6 18,"(4,5+,6+)",< 24 fs
30SI,10821.6 18,"(4,5+,6+)",< 24 fs
30SI,10835 4,(1+ TO 5+),
30SI,10835 4,(1+ TO 5+),
30SI,10975 4,(0+ TO 4+),
30SI,10975 4,(0+ TO 4+),
30SI,11015 3,(2+ TO 4+),
30SI,11015 3,(2+ TO 4+),
30SI,11037.5 24,(3- TO 6+),< 52 fs
30SI,11205 3,(0+ TO 4+),
30SI,11205 3,(0+ TO 4+),
30SI,11209.5 21,"(4,5+)",
30SI,11268 3,(2+ TO 5+),
30SI,11268 3,(2+ TO 5+),
30SI,11321.8 24,(2+ TO 5+),
30SI,11321.8 24,(2+ TO 5+),
30SI,11348 4,(2+ TO 6+),
30SI,11348 4,(2+ TO 6+),
30SI,11382 4,(0+ TO 4+),
30SI,11382 4,(0+ TO 4+),
30SI,11416.3 20,"(6+,4+)",< 35 fs
30SI,11416.3 20,"(6+,4+)",< 35 fs
30SI,11492.0 24,(3+ TO 6+),
30SI,11492.0 24,(3+ TO 6+),
30SI,11510 3,(4 TO 5+),
30SI,11510 3,(4 TO 5+),
30SI,11563 3,"(5,3+)",< 24 fs
30SI,11783.7 24,"(4,5+)",< 35 fs
30SI,11842 4,(0+ TO 4+),
30SI,11842 4,(0+ TO 4+),
30SI,12014.1 24,(4 TO 6+),
30SI,12014.1 24,(4 TO 6+),
30SI,12014.1 24,(4 TO 6+),
31SI,0,3/2+,157.36 m 26
31SI,752.23 3,1/2+,0.53 ps 12
31SI,1694.91 4,5/2+,0.57 ps 15
31SI,2316.93 10,3/2+,38 fs 15
31SI,2788.03 7,(5/2+),14 fs 14
31SI,3873.6 10,"(7/2+,9/2+)",
31SI,3873.6 10,"(7/2+,9/2+)",
31SI,4261.6 5,"3/2+,5/2+",
31SI,4261.6 5,"3/2+,5/2+",
31SI,4719.1 3,1/2+,
31SI,5819 8,(1/2+),
31SI,5957.92 19,"(1/2-,3/2,5/2+)",
31SI,5985 5,"(3/2+,5/2+)",
31SI,5985 5,"(3/2+,5/2+)",
31SI,6071 2,"3/2+,5/2+",
31SI,6071 2,"3/2+,5/2+",
31SI,6241 5,"3/2+,5/2+",
31SI,6241 5,"3/2+,5/2+",
31SI,6461 1,"(3/2+,5/2+)",
31SI,6461 1,"(3/2+,5/2+)",
31SI,6577.08 4,1/2+,
31SI,6587.40 4,1/2+,
31SI,6765.1 8,1/2+,11.0 keV 3
31SI,6771.8 4,(3/2+),
31SI,6814.9 5,"3/2+,5/2+",
31SI,6814.9 5,"3/2+,5/2+",
31SI,6915.2 5,"3/2+,5/2+",
31SI,6915.2 5,"3/2+,5/2+",
31SI,6949 10,"(1/2-,3/2+)",
31SI,7164 10,"(3/2+,5/2+)",
31SI,7164 10,"(3/2+,5/2+)",
31SI,7212.2 6,"(3/2+,5/2+)",
31SI,7212.2 6,"(3/2+,5/2+)",
31SI,7269.9 7,"(3/2+,5/2+)",
31SI,7269.9 7,"(3/2+,5/2+)",
31SI,7432 10,"3/2+,5/2+",
31SI,7432 10,"3/2+,5/2+",
31SI,7564 10,"(3/2+,5/2,7/2-)",
31SI,7648 10,"(3/2+,5/2,7/2-)",
31SI,7732.3 11,1/2+,7.5 keV 5
31SI,7766.7 12,"3/2+,5/2+",5.0 keV 5
31SI,7766.7 12,"3/2+,5/2+",5.0 keV 5
31SI,7848.5 13,"(3/2+,5/2+)",4.2 keV 10
31SI,7848.5 13,"(3/2+,5/2+)",4.2 keV 10
31SI,7944.2 14,"(3/2+,5/2+)",
31SI,7944.2 14,"(3/2+,5/2+)",
31SI,8570 14,"3/2+,5/2+",
31SI,8570 14,"3/2+,5/2+",
31SI,8620 14,"3/2+,5/2+",
31SI,8620 14,"3/2+,5/2+",
31SI,8780 14,"(3/2+,5/2+)",
31SI,8780 14,"(3/2+,5/2+)",
31SI,9230 14,"(3/2+,5/2+)",
31SI,9230 14,"(3/2+,5/2+)",
32SI,0,0+,157 y 7
32SI,1941.4 3,2+,0.78 ps 22
32SI,4230.8 8,2+,0.26 ps 9
32SI,4983.9 11,0+,< 0.30 ps
32SI,5220 3,(1+),< 80 fs
32SI,5427 14,2+,
32SI,5502 4,"(5-,4+)",
32SI,5785.7 16,"(0,1,2)+",? 0.8 ps
32SI,5785.7 16,"(0,1,2)+",? 0.8 ps
32SI,5785.7 16,"(0,1,2)+",? 0.8 ps
32SI,5893 8,(3+),
32SI,5954 2,2+,? 55 fs
32SI,6170 5,(2+),? 55 fs
32SI,6242 5,0+,? 55 fs
32SI,6388 3,2+,< 42 fs
32SI,7083 5,2+,
32SI,7793 9,"3-,4+",
32SI,8066 9,2+,
32SI,8361 10,2+,
32SI,8650 15,2+,
32SI,8758 9,"3-,4+",
32SI,9203.218 5,"1+,2+",
32SI,9203.218 5,"1+,2+",
33SI,0,3/2+,6.11 s 21
33SI,1010.2 5,1/2+,
33SI,4341 11,"3/2+,5/2+",
33SI,4341 11,"3/2+,5/2+",
34SI,0,0+,2.77 s 20
34SI,3327.14 20,2+,82 fs 32
34SI,5330.4 10,2+,
35SI,973.88 18,(3/2+),5.9 ns 6
35SI,1444,(1/2+),
35SI,1689 3,1/2+,
35SI,2168.2 4,5/2+,
36SI,0,0+,0.45 s 6
36SI,1408.0 10,2+,2.7 ps +11-7
36SI,2850 4,(4+),
36SI,3692 4,(6+),
37SI,717 3,(3/2)+,
37SI,1270.2 10,(5/2+),
38SI,0,0+,63 ms 8
38SI,1074 2,2+,10 ps +6-3
38SI,2233 3,(4+),
38SI,2355 29,(4+),
38SI,3703 3,(4+),
39SI,879 4,(3/2+),
40SI,0,0+,33.0 ms 10
40SI,986 5,(2+),
40SI,1624 7,"(0+,2+,4+)",
40SI,1624 7,"(0+,2+,4+)",
40SI,1624 7,"(0+,2+,4+)",
40SI,2524 19,(4+),
42SI,0,0+,12.5 ms 35
42SI,742 8,(2+),
42SI,2173 14,(4+),
44SI,0,0+,> 360 ns
25P,0,(1/2+),< 30 ns
26P,0,(3)+,43.7 ms 6
27P,0,1/2+,260 ms 80
27P,1120 8,(3/2+),
28P,0,3+,270.3 ms 5
28P,105.64 10,(2+),
28P,1134.0 5,(3+),< 1.0 ps
28P,1313 2,(1+),
28P,1516 2,(2+),
28P,1567 3,(1+),
28P,2104 1,(2+),< 87 fs
28P,2143 5,(1+),
28P,2216 5,"(3,4)+",
28P,2216 5,"(3,4)+",
28P,2406 5,"(0,1,2)+",
28P,2406 5,"(0,1,2)+",
28P,2406 5,"(0,1,2)+",
28P,2628 5,"(3,4)+",
28P,2628 5,"(3,4)+",
28P,2896 5,"(3,4)+",
28P,2896 5,"(3,4)+",
28P,2973 5,(1+),
28P,3164 5,"(3,4)+",
28P,3164 5,"(3,4)+",
28P,3512 5,(1+),
28P,3911 5,(2+),
28P,4630 10,1+,
28P,5900 21,0+,
29P,0,1/2+,4.142 s 15
29P,1383.55 7,3/2+,151 fs 12
29P,1953.91 17,5/2+,268 fs 21
29P,2422.7 3,3/2+,19 fs 3
29P,3105.9 3,5/2+,23 fs 10
29P,4080.5 3,7/2+,11 fs 1
29P,4642.0 6,"(7/2+,9/2+)",35 fs 15
29P,4642.0 6,"(7/2+,9/2+)",35 fs 15
29P,4759 3,1/2+,15.6 keV 6
29P,4954.1 5,(5/2+),< 2 keV
29P,5047 3,"(7/2+,9/2+)",
29P,5047 3,"(7/2+,9/2+)",
29P,5293.0 5,(7/2+),< 2 keV
29P,5968 3,3/2+,9.5 keV 15
29P,6577 5,1/2+,200 keV 20
29P,6828 5,"(3/2+,5/2+)",4.9 keV 4
29P,6828 5,"(3/2+,5/2+)",4.9 keV 4
29P,6956 10,1/2+,120 keV 10
29P,7272 5,(5/2+),< 3 keV
29P,7523 5,(3/2+),7 keV 3
29P,7641 40,1/2+,165 keV 25
29P,7755 5,(5/2+),? 2 keV
29P,8106 11,(5/2+),36 keV 10
29P,8234 9,(3/2+),20 keV 4
29P,8379 3,(5/2+),0.271 keV 10
29P,8432 15,(5/2+),
29P,8510 10,(1/2+),36 keV 10
29P,8532 10,"(3/2+,5/2+)",25 keV 7
29P,8532 10,"(3/2+,5/2+)",25 keV 7
29P,8693 30,"(1/2+,3/2+)",120 keV 30
29P,8693 30,"(1/2+,3/2+)",120 keV 30
29P,8780 15,(1/2+),14 keV 3
29P,8865 12,"(1/2+,3/2+)",9 keV 3
29P,8865 12,"(1/2+,3/2+)",9 keV 3
29P,8915 15,"(3/2+,5/2+)",33 keV 6
29P,8915 15,"(3/2+,5/2+)",33 keV 6
29P,9002 15,"(5/2+,3/2+)",? 50 keV
29P,9002 15,"(5/2+,3/2+)",? 50 keV
29P,9389 12,(3/2+),13 keV 5
29P,9455 15,(1/2+),20 keV 5
29P,9548,(1/2+),50 keV 10
29P,9625,(1/2+),40 keV 10
29P,9664 2,(1/2+),3.07 keV 5
29P,9743,(1/2+),6.5 keV 3
29P,9760,"(3/2+,5/2+)",7.6 keV 3
29P,9760,"(3/2+,5/2+)",7.6 keV 3
29P,9773,"(3/2+,5/2+)",7.6 keV 3
29P,9773,"(3/2+,5/2+)",7.6 keV 3
29P,9815,"(3/2+,5/2+)",19.8 keV 10
29P,9815,"(3/2+,5/2+)",19.8 keV 10
29P,9855 30,"(3/2+,5/2+)",11.7 keV 5
29P,9855 30,"(3/2+,5/2+)",11.7 keV 5
29P,10490 2,(3/2+),0.88 keV 17
29P,11360 2,(5/2+),3.5 keV 5
29P,11480 2,(5/2+),1.53 keV 12
30P,0,1+,2.498 m 4
30P,677.01 3,0+,96 fs 10
30P,708.70 3,1+,45 ps 4
30P,1454.23 2,2+,4.5 ps 5
30P,1973.27 4,3+,1.9 ps 6
30P,2538.95 5,(3+),151 fs 14
30P,2723.72 7,2+,112 fs 10
30P,2839.34 4,(3+),573 fs 125
30P,2937.46 2,2+,48 fs 3
30P,3019.2 1,1+,2 fs 1
30P,3304 5,(1+),
30P,3733.80 7,(1+),26 fs 5
30P,3835.80 5,2+,32 fs 6
30P,3928.61 5,3+,79 fs 14
30P,4182.81 6,2+,2.2 fs 6
30P,4298.6 2,4+,100 fs 18
30P,4343.8 1,5+,123 fs 10
30P,4422.8 1,2+,40 fs 6
30P,4468.33 7,0+,1.9 fs 3
30P,4502.21 9,1+,4.4 fs 15
30P,4736.03 8,3+,51 fs 7
30P,4941.2 3,(1+),4.3 fs 11
30P,5206.8 1,3+,15 fs 4
30P,5506.3 2,(1+),3.8 fs 9
30P,5576.3 1,2+,6 fs 1
30P,5597 5,4+,
30P,5701.3 2,1+,11 fs 3
30P,5715 4,"(5,7)+",
30P,5715 4,"(5,7)+",
30P,5788 5,(3 TO 5)+,
30P,5788 5,(3 TO 5)+,
30P,5788 5,(3 TO 5)+,
30P,5808 5,"(3,5)+",
30P,5808 5,"(3,5)+",
30P,5934.0 1,(3+),
30P,5997.2 8,(1+),
30P,6006.0 1,(3+),
30P,6051 5,"(3,4,5)+",
30P,6051 5,"(3,4,5)+",
30P,6051 5,"(3,4,5)+",
30P,6178 4,"(5,6,7)+",
30P,6178 4,"(5,6,7)+",
30P,6178 4,"(5,6,7)+",
30P,6229.0 3,"(3,5)+",
30P,6229.0 3,"(3,5)+",
30P,6299.3 2,3+,
30P,6470 5,"(5+,6-)",
30P,6481.6 5,(1+),
30P,6520.8 5,"(1+,2+)",
30P,6520.8 5,"(1+,2+)",
30P,6597.7 5,"(3,4+,5+)",
30P,6597.7 5,"(3,4+,5+)",
30P,6667.8 5,"(2-,3+)",
30P,6853.9 5,1+,25 eV
30P,6873.4 5,3+,3 eV
30P,6978.3 5,"(3+,4+)",
30P,6978.3 5,"(3+,4+)",
30P,6981 5,(5 TO 7)+,
30P,6981 5,(5 TO 7)+,
30P,6981 5,(5 TO 7)+,
30P,7119.1 5,"(1+,2+,3+)",
30P,7119.1 5,"(1+,2+,3+)",
30P,7119.1 5,"(1+,2+,3+)",
30P,7202.4 15,"(6+,7+)",9.4 ps 12
30P,7202.4 15,"(6+,7+)",9.4 ps 12
30P,7203.0 5,(2+),30 eV
30P,7207.5 5,(0+),50 eV
30P,7282.0 5,3+,1 eV
30P,7283.4 5,2+,7 eV
30P,7347 5,"(5,6,7)+",
30P,7347 5,"(5,6,7)+",
30P,7347 5,"(5,6,7)+",
30P,7383.4 5,(1 TO 3+),
30P,7383.4 5,(1 TO 3+),
30P,7383.4 5,(1 TO 3+),
30P,7493 1,(1+),3.5 keV
30P,7560.5 5,(3+),40 eV
30P,7562.5 5,(2+),25 eV
30P,7605.0 5,"(1+,2+)",0.26 keV
30P,7605.0 5,"(1+,2+)",0.26 keV
30P,7636.0 5,(3+),< 3 eV
30P,7644.3 5,(3+),65 eV
30P,7688.2 5,"(3+,4-)",< 3 eV
30P,7749.3 5,(1+),0.53 keV
30P,7752.7 5,"(3+,4+)",< 3 eV
30P,7752.7 5,"(3+,4+)",< 3 eV
30P,7759.0 5,(3+),< 4 eV
30P,7883.8 5,(4+),
30P,7920.9 5,2+,0.38 keV
30P,7921.8 5,(3+),
30P,7922 1,(4+),
30P,7932 3,(0+),28 keV
30P,7996.7 5,(1+),1.0 keV
30P,8007.4 5,(2+),0.65 keV
30P,8014.3 5,(2+),0.16 keV
30P,8096 3,1+,7.4 keV
30P,8107 3,2+,0.28 keV
30P,8181 3,1+,18 keV
30P,8207 3,0+,13 keV
30P,8278 3,2+,1.3 keV
30P,8319 3,1+,6.0 keV
30P,8386 3,3+,0.10 keV
30P,8398 3,2+,0.24 keV
30P,8432 3,2+,1.35 keV
30P,8451 3,1+,2.3 keV
30P,8526 3,"(3,4,5)+",
30P,8526 3,"(3,4,5)+",
30P,8526 3,"(3,4,5)+",
30P,8582 3,2+,0.44 keV
30P,8619 3,2+,0.50 keV
30P,8621 3,1+,4.0 keV
30P,8647 3,3+,70 eV
30P,8708 3,1+,28 keV
30P,8755 3,(1+),3.0 keV
31P,0,1/2+,STABLE
31P,1266.13 12,3/2+,0.523 ps 18
31P,2233.6 1,5/2+,269 fs 18
31P,3134.3 4,1/2+,7.2 fs 6
31P,3295.0 2,5/2+,88 fs 10
31P,3414.6 3,7/2+,219 fs 17
31P,3506.1 6,3/2+,8.8 fs 13
31P,4190.9 10,5/2+,4.9 fs 21
31P,4260.4 10,3/2+,10.4 fs 35
31P,4592.5 10,3/2+,12 fs 4
31P,4634.2 8,7/2+,68 fs 10
31P,4783.4 11,5/2+,6.9 fs 28
31P,5014.9 10,(3/2+),42 fs 8
31P,5116.0 15,5/2+,10.4 fs 35
31P,5256.8 15,1/2+,< 10 fs
31P,5342.9 15,9/2+,36 fs 8
31P,5530.0 15,"(5/2,7/2)+",11 fs 5
31P,5530.0 15,"(5/2,7/2)+",11 fs 5
31P,5558.9 16,(3/2)+,< 17 fs
31P,5773.5 16,(7/2+),22 fs 7
31P,5891.9 20,9/2+,23 fs 6
31P,5987.9 14,(3/2)+,
31P,6046.4 26,7/2+,22 fs 10
31P,6078.1 18,9/2+,22 fs 10
31P,6233.4 15,"(3/2,5/2,7/2)+",
31P,6233.4 15,"(3/2,5/2,7/2)+",
31P,6233.4 15,"(3/2,5/2,7/2)+",
31P,6336.6 15,1/2+,
31P,6380.8 20,3/2+,< 7 fs
31P,6452.7 10,11/2+,23 fs 10
31P,6460.8 16,5/2+,
31P,6931.4 20,5/2+,< 28 fs
31P,7073 6,"1/2+,3/2+",
31P,7073 6,"1/2+,3/2+",
31P,7079.9 19,"(3/2-,5/2+)",
31P,7084.0 17,"(3/2+,5/2,7/2+)",
31P,7084.0 17,"(3/2+,5/2,7/2+)",
31P,7117.7 10,9/2+,? 17 fs
31P,7141.1 18,1/2+,
31P,7313.7 16,"1/2+,3/2+",
31P,7313.7 16,"1/2+,3/2+",
31P,7442.3 3,11/2+,? 10 fs
31P,7852 4,"(1/2,3/2,5/2+)",
31P,7945 1,"3/2+,5/2+",
31P,7945 1,"3/2+,5/2+",
31P,8031 1,(5/2+),
31P,8104 1,5/2+,
31P,8208 1,"1/2+,3/2+",2.6 eV 2
31P,8208 1,"1/2+,3/2+",2.6 eV 2
31P,8243 1,(5/2+),
31P,8343.5 5,(11/2+),
31P,8461.0 7,"3/2+,5/2+",2 eV 1
31P,8461.0 7,"3/2+,5/2+",2 eV 1
31P,8470.4 7,5/2+,
31P,8552.2 8,1/2+,0.31 keV 4
31P,8575.6 8,5/2+,7 eV 5
31P,8584.2 8,5/2(+),50 eV 10
31P,8601.0 8,(5/2+),
31P,8641.2 8,5/2+,5 eV 3
31P,8649.5 8,3/2+,
31P,8730.5 9,3/2(+),
31P,8738.0 9,3/2+,20 eV 5
31P,8754.5 10,5/2+,
31P,8757.3 9,5/2+,3 eV 2
31P,8763.3 9,1/2+,1.45 keV 15
31P,8840 1,5/2+,1 eV 1
31P,8903 1,1/2+,90 eV 15
31P,8910 1,5/2+,1 eV 1
31P,8936 1,3/2+,3 eV 2
31P,9009 1,5/2+,65 eV 20
31P,9053 1,(5/2+),
31P,9067 1,5/2+,16 eV 5
